DRUG	EXCIPIENT	CLASS	SIZE_REDUCTION	RADIUS
Atovaquone	ursodiol	0	nan	nan
Atovaquone	diclofenac	0	nan	nan
Atovaquone	eucalyptol	0	nan	nan
Atovaquone	beta_carotene	0	nan	nan
Atovaquone	menthol	0	nan	nan
Atovaquone	alpha-terpineol	0	nan	nan
Atovaquone	fenchyl_alcohol	0	nan	nan
Atovaquone	biotin	0	nan	nan
Atovaquone	xylitol	0	nan	nan
Atovaquone	trans-cinnamic_acid	0	nan	nan
Atovaquone	thimerosal	0	nan	nan
Atovaquone	tyramine	0	nan	nan
Atovaquone	fumaric_acid	0	nan	nan
Atovaquone	congo_red	1	0.203437588	108.3
Atovaquone	vanillin	0	nan	nan
Atovaquone	saccharin	0	nan	nan
Atovaquone	allantoin	0	nan	nan
Atovaquone	vitamin_A_palmitate	1	0.204564666	108.9
Atovaquone	acetylcholine_chloride	0	nan	nan
Atovaquone	dibutyl_phthalate	1	0.133464826	71.05
Atovaquone	trometamol	0	nan	nan
Atovaquone	benzoyl_peroxide	1	0.117122194	62.35
Atovaquone	triethyl_citrate	0	nan	nan
Atovaquone	triacetin	0	nan	nan
Atovaquone	glycerol	0	nan	nan
Atovaquone	propylene_glycol	0	nan	nan
Atovaquone	mebendazole	0	nan	nan
Atovaquone	L-proline	0	nan	nan
Atovaquone	L-lysine	0	nan	nan
Atovaquone	L-ascorbic_acid	0	nan	nan
Atovaquone	stearic_acid	0	nan	nan
Atovaquone	(R)-(+)-Limonene	0	nan	nan
Atovaquone	meglumine	0	nan	nan
Atovaquone	hydrochlorothiazide	0	nan	nan
Atovaquone	ketoprofen	0	nan	nan
Atovaquone	memantine_hydrochloride	0	nan	nan
Atovaquone	naproxen_sodium	0	nan	nan
Atovaquone	mannitol	0	nan	nan
Atovaquone	D-sorbitol	0	nan	nan
Atovaquone	tannic_acid	0	nan	nan
Atovaquone	rhodamine_B	0	nan	nan
Atovaquone	moxifloxacin	0	nan	nan
Atovaquone	ciprofloxacin	0	nan	nan
Atovaquone	certirizine	0	nan	nan
Atovaquone	budesonide	1	0.235559313	125.4
Atovaquone	etidronic_acid	0	nan	nan
Atovaquone	emtricitabine	0	nan	nan
Atovaquone	metoprolol(+)-tartrate	0	nan	nan
Atovaquone	phenytoin	0	nan	nan
Atovaquone	propranolol_hydrochloride	1	0.20616136	109.75
Atovaquone	captan	0	nan	nan
Atovaquone	neotame	0	nan	nan
Atovaquone	alendronate_sodium	0	nan	nan
Atovaquone	piroxicam	0	nan	nan
Atovaquone	desipramine_hydrochloride	1	0.186437494	99.25
Atovaquone	nadolol	0	nan	nan
Atovaquone	omeprazole	0	nan	nan
Atovaquone	labetalol_hydrochloride	0	nan	nan
Atovaquone	prednisone	0	nan	nan
Atovaquone	risperidone	1	0.199868508	106.4
Atovaquone	fluconazole	0	nan	nan
Atovaquone	methotrexate_hydrate	0	nan	nan
Atovaquone	tenofovir_alafenamide	0	nan	nan
Atovaquone	carbamazepine	0	nan	nan
Nelfinavir	caffeine	0	nan	nan
Nelfinavir	succinic_acid	0	nan	nan
Nelfinavir	octyl_gallate	0	nan	nan
Nelfinavir	DL-malic_acid	0	nan	nan
Nelfinavir	adipic_acid	0	nan	nan
Nelfinavir	Triazabicyclodecene	0	nan	nan
Nelfinavir	DBU	0	nan	nan
Nelfinavir	L-asparagine	0	nan	nan
Nelfinavir	theobromine	0	nan	nan
Nelfinavir	3,3'-thiodipropionic_acid	0	nan	nan
Nelfinavir	theophylline	0	nan	nan
Nelfinavir	borneol	0	nan	nan
Nelfinavir	cinnamaldehyde	0	nan	nan
Nelfinavir	aspartame	0	nan	nan
Nelfinavir	squalene	0	nan	nan
Nelfinavir	benzaldehyde	0	nan	nan
Nelfinavir	sodium_deoxycholate	0	nan	nan
Nelfinavir	cholic_acid	0	nan	nan
Nelfinavir	glycocholic_acid	0	nan	nan
Nelfinavir	sucrose_octaacetate	0	nan	nan
Nelfinavir	trans_anethole	0	nan	nan
Nelfinavir	indomethacin	0	nan	nan
Nelfinavir	terpinyl_butyrate	0	nan	nan
Nelfinavir	hydrocortisone	0	nan	nan
Nelfinavir	candesartan_cilexetil	1	0.041376347	67.4
Nelfinavir	neohesperidin_DC	0	nan	nan
Nelfinavir	ursodiol	0	nan	nan
Nelfinavir	diclofenac	0	nan	nan
Nelfinavir	eucalyptol	0	nan	nan
Nelfinavir	beta_carotene	0	nan	nan
Nelfinavir	menthol	0	nan	nan
Nelfinavir	alpha-terpineol	0	nan	nan
Nelfinavir	fenchyl_alcohol	0	nan	nan
Nelfinavir	biotin	0	nan	nan
Nelfinavir	xylitol	0	nan	nan
Nelfinavir	trans-cinnamic_acid	0	nan	nan
Nelfinavir	thimerosal	0	nan	nan
Nelfinavir	tyramine	0	nan	nan
Nelfinavir	fumaric_acid	0	nan	nan
Nelfinavir	congo_red	1	0.027870714	45.4
Nelfinavir	vanillin	0	nan	nan
Nelfinavir	saccharin	0	nan	nan
Nelfinavir	allantoin	0	nan	nan
Nelfinavir	vitamin_A_palmitate	0	nan	nan
Nelfinavir	acetylcholine_chloride	0	nan	nan
Nelfinavir	dibutyl_phthalate	0	nan	nan
Nelfinavir	trometamol	0	nan	nan
Nelfinavir	benzoyl_peroxide	0	nan	nan
Nelfinavir	triethyl_citrate	0	nan	nan
Nelfinavir	triacetin	1	0.204364775	332.9
Nelfinavir	glycerol	0	nan	nan
Nelfinavir	propylene_glycol	0	nan	nan
Nelfinavir	mebendazole	0	nan	nan
Nelfinavir	L-proline	1	0.121765555	198.35
Nelfinavir	L-lysine	1	0.182510206	297.3
Nelfinavir	L-ascorbic_acid	0	nan	nan
Nelfinavir	stearic_acid	0	nan	nan
Nelfinavir	(R)-(+)-Limonene	0	nan	nan
Nelfinavir	meglumine	0	nan	nan
Nelfinavir	hydrochlorothiazide	1	0.083520059	136.05
Nelfinavir	ketoprofen	0	nan	nan
Nelfinavir	memantine_hydrochloride	1	0.425887842	693.75
Nelfinavir	naproxen_sodium	1	0.016360232	26.65
Nelfinavir	mannitol	0	nan	nan
Nelfinavir	D-sorbitol	0	nan	nan
Nelfinavir	tannic_acid	0	nan	nan
Nelfinavir	rhodamine_B	0	nan	nan
Nelfinavir	moxifloxacin	0	nan	nan
Nelfinavir	ciprofloxacin	0	nan	nan
Nelfinavir	certirizine	0	nan	nan
Nelfinavir	budesonide	0	nan	nan
Nelfinavir	etidronic_acid	0	nan	nan
Nelfinavir	emtricitabine	0	nan	nan
Nelfinavir	metoprolol(+)-tartrate	1	0.144479573	235.35
Nelfinavir	phenytoin	0	nan	nan
Nelfinavir	propranolol_hydrochloride	0	nan	nan
Nelfinavir	captan	1	0.072439301	118
Nelfinavir	neotame	1	0.055833512	90.95
Nelfinavir	alendronate_sodium	1	0.125019184	203.65
Nelfinavir	piroxicam	1	0.104238927	169.8
Nelfinavir	desipramine_hydrochloride	1	0.022898186	37.3
Nelfinavir	nadolol	0	nan	nan
Nelfinavir	omeprazole	0	nan	nan
Nelfinavir	labetalol_hydrochloride	1	0.22852144	372.25
Nelfinavir	prednisone	1	0.070597624	115
Nelfinavir	risperidone	1	0.452438688	737
Nelfinavir	fluconazole	1	0.107983671	175.9
Nelfinavir	methotrexate_hydrate	1	0.118696093	193.35
Nelfinavir	tenofovir_alafenamide	1	0.013260076	21.6
Nelfinavir	carbamazepine	1	0.043985389	71.65
Gefitinib	caffeine	0	nan	nan
Gefitinib	succinic_acid	0	nan	nan
Gefitinib	octyl_gallate	0	nan	nan
Gefitinib	DL-malic_acid	0	nan	nan
Gefitinib	adipic_acid	0	nan	nan
Gefitinib	Triazabicyclodecene	0	nan	nan
Gefitinib	DBU	0	nan	nan
Gefitinib	L-asparagine	0	nan	nan
Gefitinib	theobromine	0	nan	nan
Gefitinib	3,3'-thiodipropionic_acid	0	nan	nan
Gefitinib	theophylline	0	nan	nan
Gefitinib	borneol	0	nan	nan
Gefitinib	cinnamaldehyde	0	nan	nan
Gefitinib	aspartame	0	nan	nan
Gefitinib	squalene	0	nan	nan
Gefitinib	benzaldehyde	0	nan	nan
Gefitinib	sodium_deoxycholate	0	nan	nan
Gefitinib	cholic_acid	0	nan	nan
Gefitinib	glycocholic_acid	0	nan	nan
Gefitinib	sucrose_octaacetate	0	nan	nan
Gefitinib	trans_anethole	0	nan	nan
Gefitinib	indomethacin	0	nan	nan
Gefitinib	terpinyl_butyrate	0	nan	nan
Gefitinib	hydrocortisone	0	nan	nan
Gefitinib	candesartan_cilexetil	0	nan	nan
Gefitinib	neohesperidin_DC	0	nan	nan
Gefitinib	ursodiol	0	nan	nan
Gefitinib	diclofenac	0	nan	nan
Gefitinib	eucalyptol	0	nan	nan
Gefitinib	beta_carotene	0	nan	nan
Gefitinib	menthol	0	nan	nan
Gefitinib	alpha-terpineol	0	nan	nan
Gefitinib	fenchyl_alcohol	0	nan	nan
Gefitinib	biotin	0	nan	nan
Gefitinib	xylitol	0	nan	nan
Gefitinib	trans-cinnamic_acid	0	nan	nan
Gefitinib	thimerosal	0	nan	nan
Gefitinib	tyramine	0	nan	nan
Gefitinib	fumaric_acid	0	nan	nan
Gefitinib	congo_red	0	nan	nan
Gefitinib	vanillin	0	nan	nan
Gefitinib	saccharin	0	nan	nan
Gefitinib	allantoin	0	nan	nan
Gefitinib	vitamin_A_palmitate	0	nan	nan
Gefitinib	acetylcholine_chloride	0	nan	nan
Gefitinib	dibutyl_phthalate	0	nan	nan
Gefitinib	trometamol	0	nan	nan
Gefitinib	benzoyl_peroxide	0	nan	nan
Gefitinib	triethyl_citrate	0	nan	nan
Gefitinib	triacetin	0	nan	nan
Gefitinib	glycerol	0	nan	nan
Gefitinib	propylene_glycol	0	nan	nan
Gefitinib	mebendazole	0	nan	nan
Gefitinib	L-proline	0	nan	nan
Gefitinib	L-lysine	0	nan	nan
Gefitinib	L-ascorbic_acid	0	nan	nan
Gefitinib	stearic_acid	0	nan	nan
Gefitinib	(R)-(+)-Limonene	0	nan	nan
Gefitinib	meglumine	0	nan	nan
Gefitinib	hydrochlorothiazide	0	nan	nan
Gefitinib	ketoprofen	0	nan	nan
Gefitinib	memantine_hydrochloride	0	nan	nan
Gefitinib	naproxen_sodium	0	nan	nan
Gefitinib	mannitol	0	nan	nan
Gefitinib	D-sorbitol	0	nan	nan
Gefitinib	tannic_acid	0	nan	nan
Gefitinib	rhodamine_B	0	nan	nan
Gefitinib	moxifloxacin	0	nan	nan
Gefitinib	ciprofloxacin	0	nan	nan
Gefitinib	certirizine	0	nan	nan
Gefitinib	budesonide	0	nan	nan
Gefitinib	etidronic_acid	0	nan	nan
Gefitinib	emtricitabine	0	nan	nan
Gefitinib	metoprolol(+)-tartrate	0	nan	nan
Gefitinib	phenytoin	0	nan	nan
Gefitinib	propranolol_hydrochloride	0	nan	nan
Gefitinib	captan	0	nan	nan
Gefitinib	neotame	0	nan	nan
Gefitinib	alendronate_sodium	0	nan	nan
Gefitinib	piroxicam	0	nan	nan
Gefitinib	desipramine_hydrochloride	0	nan	nan
Gefitinib	nadolol	0	nan	nan
Gefitinib	omeprazole	0	nan	nan
Gefitinib	labetalol_hydrochloride	0	nan	nan
Gefitinib	prednisone	0	nan	nan
Gefitinib	risperidone	0	nan	nan
Gefitinib	fluconazole	0	nan	nan
Gefitinib	methotrexate_hydrate	0	nan	nan
Gefitinib	tenofovir_alafenamide	0	nan	nan
Gefitinib	carbamazepine	0	nan	nan
Fulvestrant	caffeine	0	nan	nan
Fulvestrant	succinic_acid	0	nan	nan
Fulvestrant	octyl_gallate	1	0.362985502	101.4
Fulvestrant	DL-malic_acid	0	nan	nan
Fulvestrant	adipic_acid	0	nan	nan
Fulvestrant	Triazabicyclodecene	0	nan	nan
Fulvestrant	DBU	0	nan	nan
Fulvestrant	L-asparagine	0	nan	nan
Fulvestrant	theobromine	0	nan	nan
Fulvestrant	3,3'-thiodipropionic_acid	1	0.119563272	33.4
Fulvestrant	theophylline	0	nan	nan
Fulvestrant	borneol	0	nan	nan
Fulvestrant	cinnamaldehyde	0	nan	nan
Fulvestrant	aspartame	0	nan	nan
Fulvestrant	squalene	0	nan	nan
Fulvestrant	benzaldehyde	0	nan	nan
Fulvestrant	sodium_deoxycholate	1	0.23465187	65.55
Fulvestrant	cholic_acid	1	0.473599427	132.3
Fulvestrant	glycocholic_acid	1	0.345265796	96.45
Fulvestrant	sucrose_octaacetate	0	nan	nan
Fulvestrant	trans_anethole	1	0.280293539	78.3
Fulvestrant	indomethacin	0	nan	nan
Fulvestrant	terpinyl_butyrate	0	nan	nan
Fulvestrant	hydrocortisone	0	nan	nan
Fulvestrant	candesartan_cilexetil	1	0.194200823	54.25
Fulvestrant	neohesperidin_DC	0	nan	nan
Fulvestrant	ursodiol	0	nan	nan
Fulvestrant	diclofenac	0	nan	nan
Fulvestrant	eucalyptol	0	nan	nan
Fulvestrant	beta_carotene	1	0.423125112	118.2
Fulvestrant	menthol	0	nan	nan
Fulvestrant	alpha-terpineol	0	nan	nan
Fulvestrant	fenchyl_alcohol	0	nan	nan
Fulvestrant	biotin	0	nan	nan
Fulvestrant	xylitol	0	nan	nan
Fulvestrant	trans-cinnamic_acid	0	nan	nan
Fulvestrant	thimerosal	0	nan	nan
Fulvestrant	tyramine	0	nan	nan
Fulvestrant	fumaric_acid	0	nan	nan
Fulvestrant	congo_red	1	0.227850367	63.65
Fulvestrant	vanillin	0	nan	nan
Fulvestrant	saccharin	0	nan	nan
Fulvestrant	allantoin	0	nan	nan
Fulvestrant	vitamin_A_palmitate	1	0.373724718	104.4
Fulvestrant	acetylcholine_chloride	0	nan	nan
Fulvestrant	dibutyl_phthalate	0	nan	nan
Fulvestrant	trometamol	0	nan	nan
Fulvestrant	benzoyl_peroxide	0	nan	nan
Fulvestrant	triethyl_citrate	0	nan	nan
Fulvestrant	triacetin	0	nan	nan
Fulvestrant	glycerol	0	nan	nan
Fulvestrant	propylene_glycol	0	nan	nan
Fulvestrant	mebendazole	0	nan	nan
Fulvestrant	L-proline	0	nan	nan
Fulvestrant	L-lysine	0	nan	nan
Fulvestrant	L-ascorbic_acid	0	nan	nan
Fulvestrant	stearic_acid	0	nan	nan
Fulvestrant	(R)-(+)-Limonene	0	nan	nan
Fulvestrant	meglumine	0	nan	nan
Fulvestrant	hydrochlorothiazide	0	nan	nan
Fulvestrant	ketoprofen	0	nan	nan
Fulvestrant	memantine_hydrochloride	0	nan	nan
Fulvestrant	naproxen_sodium	0	nan	nan
Fulvestrant	mannitol	0	nan	nan
Fulvestrant	D-sorbitol	0	nan	nan
Fulvestrant	tannic_acid	1	0.424557007	118.6
Fulvestrant	rhodamine_B	0	nan	nan
Fulvestrant	moxifloxacin	0	nan	nan
Fulvestrant	ciprofloxacin	0	nan	nan
Fulvestrant	certirizine	0	nan	nan
Fulvestrant	budesonide	0	nan	nan
Fulvestrant	etidronic_acid	0	nan	nan
Fulvestrant	emtricitabine	0	nan	nan
Fulvestrant	metoprolol(+)-tartrate	0	nan	nan
Fulvestrant	phenytoin	0	nan	nan
Fulvestrant	propranolol_hydrochloride	0	nan	nan
Fulvestrant	captan	0	nan	nan
Fulvestrant	neotame	0	nan	nan
Fulvestrant	alendronate_sodium	0	nan	nan
Fulvestrant	piroxicam	0	nan	nan
Fulvestrant	desipramine_hydrochloride	0	nan	nan
Fulvestrant	nadolol	0	nan	nan
Fulvestrant	omeprazole	0	nan	nan
Fulvestrant	labetalol_hydrochloride	0	nan	nan
Fulvestrant	prednisone	0	nan	nan
Fulvestrant	risperidone	0	nan	nan
Fulvestrant	fluconazole	0	nan	nan
Fulvestrant	methotrexate_hydrate	0	nan	nan
Fulvestrant	tenofovir_alafenamide	0	nan	nan
Fulvestrant	carbamazepine	0	nan	nan
Rapamycin	caffeine	0	nan	nan
Rapamycin	succinic_acid	0	nan	nan
Rapamycin	octyl_gallate	0	nan	nan
Rapamycin	DL-malic_acid	0	nan	nan
Rapamycin	adipic_acid	0	nan	nan
Rapamycin	Triazabicyclodecene	0	nan	nan
Rapamycin	DBU	0	nan	nan
Rapamycin	L-asparagine	0	nan	nan
Rapamycin	theobromine	0	nan	nan
Rapamycin	3,3'-thiodipropionic_acid	0	nan	nan
Rapamycin	theophylline	0	nan	nan
Rapamycin	borneol	0	nan	nan
Rapamycin	cinnamaldehyde	0	nan	nan
Rapamycin	aspartame	0	nan	nan
Rapamycin	squalene	0	nan	nan
Rapamycin	benzaldehyde	0	nan	nan
Rapamycin	sodium_deoxycholate	0	nan	nan
Rapamycin	cholic_acid	0	nan	nan
Rapamycin	glycocholic_acid	0	nan	nan
Rapamycin	sucrose_octaacetate	0	nan	nan
Rapamycin	trans_anethole	0	nan	nan
Rapamycin	indomethacin	0	nan	nan
Rapamycin	terpinyl_butyrate	0	nan	nan
Rapamycin	hydrocortisone	0	nan	nan
Rapamycin	candesartan_cilexetil	1	0.12380232	49.1
Rapamycin	neohesperidin_DC	0	nan	nan
Rapamycin	ursodiol	0	nan	nan
Rapamycin	diclofenac	0	nan	nan
Rapamycin	eucalyptol	0	nan	nan
Rapamycin	beta_carotene	0	nan	nan
Rapamycin	menthol	0	nan	nan
Rapamycin	alpha-terpineol	0	nan	nan
Rapamycin	fenchyl_alcohol	0	nan	nan
Rapamycin	biotin	0	nan	nan
Rapamycin	xylitol	0	nan	nan
Rapamycin	trans-cinnamic_acid	0	nan	nan
Rapamycin	thimerosal	0	nan	nan
Rapamycin	tyramine	0	nan	nan
Rapamycin	fumaric_acid	0	nan	nan
Rapamycin	congo_red	1	0.077155825	30.6
Rapamycin	vanillin	0	nan	nan
Rapamycin	saccharin	0	nan	nan
Rapamycin	allantoin	0	nan	nan
Rapamycin	vitamin_A_palmitate	1	0.28920827	114.7
Rapamycin	acetylcholine_chloride	0	nan	nan
Rapamycin	dibutyl_phthalate	0	nan	nan
Rapamycin	trometamol	0	nan	nan
Rapamycin	benzoyl_peroxide	0	nan	nan
Rapamycin	triethyl_citrate	0	nan	nan
Rapamycin	triacetin	0	nan	nan
Rapamycin	glycerol	0	nan	nan
Rapamycin	propylene_glycol	0	nan	nan
