DRUGBANKID	SMILES	NAME
DB00118	C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12	S-Adenosylmethionine
DB00119	CC(=O)C(O)=O	Pyruvic acid
DB00120	N[C@@H](CC1=CC=CC=C1)C(O)=O	L-Phenylalanine
DB00121	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	Biotin
DB00122	C[N+](C)(C)CCO	Choline
DB00123	NCCCC[C@H](N)C(O)=O	L-Lysine
DB00125	N[C@@H](CCCNC(N)=N)C(O)=O	L-Arginine
DB00126	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	Vitamin C
DB00127	NCCCNCCCCNCCCN	Spermine
DB00128	N[C@@H](CC(O)=O)C(O)=O	L-Aspartic Acid
DB00129	NCCC[C@H](N)C(O)=O	L-Ornithine
DB00130	N[C@@H](CCC(N)=O)C(O)=O	L-Glutamine
DB00131	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	Adenosine monophosphate
DB00132	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	Alpha-Linolenic Acid
DB00133	N[C@@H](CO)C(O)=O	L-Serine
DB00134	CSCC[C@H](N)C(O)=O	L-Methionine
DB00135	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	L-Tyrosine
DB00136	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	Calcitriol
DB00137	C\C(\C=C\C=C(/C)\C=C\C1C(C)=CC(O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CC(O)CC1(C)C	Xanthophyll
DB00138	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	L-Cystine
DB00139	OC(=O)CCC(O)=O	Succinic acid
DB00140	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	Riboflavin
DB00141	[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO	N-Acetyl-D-glucosamine
DB00143	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	Glutathione
DB00144	CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O	Phosphatidyl serine
DB00145	NCC(O)=O	Glycine
DB00146	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	Calcidiol
DB00147	CC1=NC=C(CO)C(C=O)=C1O	Pyridoxal
DB00148	CN(CC(O)=O)C(N)=N	Creatine
DB00149	CC(C)C[C@H](N)C(O)=O	L-Leucine
DB00150	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	L-Tryptophan
DB00151	N[C@@H](CS)C(O)=O	L-Cysteine
DB00152	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	Thiamine
DB00153	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	Ergocalciferol
DB00154	CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O	Dihomo-gamma-linolenic acid
DB00155	N[C@@H](CCCNC(N)=O)C(O)=O	L-Citrulline
DB00156	C[C@@H](O)[C@H](N)C(O)=O	L-Threonine
DB00158	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	Folic Acid
DB00159	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	Icosapent
DB00160	C[C@H](N)C(O)=O	L-Alanine
DB00161	CC(C)[C@H](N)C(O)=O	L-Valine
DB00162	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C	Vitamin A
DB00163	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C	Vitamin E
DB00165	CC1=C(O)C(CO)=C(CO)C=N1	Pyridoxine
DB00166	OC(=O)CCCCC1CCSS1	Lipoic Acid
DB00167	CC[C@H](C)[C@H](N)C(O)=O	L-Isoleucine
DB00168	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O	Aspartame
DB00169	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	Cholecalciferol
DB00170	CC1=CC(=O)C2=CC=CC=C2C1=O	Menadione
DB00171	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Adenosine triphosphate
DB00172	OC(=O)[C@@H]1CCCN1	L-Proline
DB00173	NC1=C2NC=NC2=NC=N1	Adenine
DB00174	N[C@@H](CC(N)=O)C(O)=O	L-Asparagine
DB00175	[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC	Pravastatin
DB00176	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F	Fluvoxamine
DB00177	CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O	Valsartan
DB00178	[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC	Ramipril
DB00179	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1	Masoprocol
DB00180	[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO	Flunisolide
DB00181	NCC(CC(O)=O)C1=CC=C(Cl)C=C1	Baclofen
DB00182	CC(N)CC1=CC=CC=C1	Amphetamine
DB00183	CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O	Pentagastrin
DB00184	CN1CCCC1C1=CN=CC=C1	Nicotine
DB00185	CC1O[C@@]2(CS1)CN1CCC2CC1	Cevimeline
DB00186	OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2	Lorazepam
DB00187	COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1	Esmolol
DB00188	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O	Bortezomib
DB00189	[H]C(Cl)=CC(O)(CC)C#C	Ethchlorvynol
DB00190	C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O	Carbidopa
DB00191	CC(C)(N)CC1=CC=CC=C1	Phentermine
DB00192	CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12	Indecainide
DB00193	COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	Tramadol
DB00194	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	Vidarabine
DB00195	CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1	Betaxolol
DB00196	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1	Fluconazole
DB00198	CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1	Oseltamivir
DB00199	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	Erythromycin
DB00200	[H]O[Co+]N1\C2=C(C)/C3=N/C(=C\C4=N\C(=C(C)/C5=N[C@@](C)([C@@]1([H])[C@H](CC(=O)N)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@H](O[C@@H]1CO)N1C=NC2=CC(C)=C(C)C=C12)[C@@](C)(CC(N)=O)[C@@H]5CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)/C(C)(C)[C@@H]3CCC(=O)N	Hydroxocobalamin
DB00201	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	Caffeine
DB00202	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C	Succinylcholine
DB00203	CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1	Sildenafil
DB00204	CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1	Dofetilide
DB00205	CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1	Pyrimethamine
DB00206	[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2	Reserpine
DB00207	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	Azithromycin
DB00208	ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2	Ticlopidine
DB00209	[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1	Trospium
DB00210	COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2	Adapalene
DB00211	COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1	Midodrine
DB00212	[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1	Remikiren
DB00213	COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1	Pantoprazole
DB00214	CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1	Torasemide
DB00215	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1	Citalopram
DB00216	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2	Eletriptan
DB00217	CN\C(NCC1=CC=CC=C1)=N/C	Bethanidine
DB00218	[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O	Moxifloxacin
DB00219	CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	Oxyphenonium
DB00220	[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C	Nelfinavir
DB00221	CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1	Isoetarine
DB00222	CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O	Glimepiride
DB00223	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	Diflorasone
DB00224	CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12	Indinavir
DB00225	O=C1[O-][Gd+3]234567[O]=C(C[N]2(CC[N]3(CC([O-]4)=O)CC[N]5(CC(=[O]6)NC)CC(=O)[O-]7)C1)NC	Gadodiamide
DB00226	NC(N)=NCC1COC2(CCCCC2)O1	Guanadrel
DB00227	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC	Lovastatin
DB00228	FC(F)OC(F)(F)C(F)Cl	Enflurane
DB00229	[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O	Cefotiam
DB00230	CC(C)C[C@H](CN)CC(O)=O	Pregabalin
DB00231	CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1	Temazepam
DB00232	CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O	Methyclothiazide
DB00233	NC1=CC(O)=C(C=C1)C(O)=O	Aminosalicylic Acid
DB00234	[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1	Reboxetine
DB00235	CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	Milrinone
DB00236	BrCCC(=O)N1CCN(CC1)C(=O)CCBr	Pipobroman
DB00237	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	Butabarbital
DB00238	CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1	Nevirapine
DB00239	ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1	Oxiconazole
DB00240	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C	Alclometasone
DB00241	CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O	Butalbital
DB00242	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1	Cladribine
DB00243	COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1	Ranolazine
DB00244	NC1=CC(C(O)=O)=C(O)C=C1	Mesalazine
DB00245	[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C	Benzatropine
DB00246	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1	Ziprasidone
DB00247	[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO	Methysergide
DB00248	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC	Cabergoline
DB00249	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O	Idoxuridine
DB00250	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	Dapsone
DB00251	CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1	Terconazole
DB00252	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	Phenytoin
DB00253	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C	Medrysone
DB00254	[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O	Doxycycline
DB00255	CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	Diethylstilbestrol
DB00256	[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C	Lymecycline
DB00257	ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1	Clotrimazole
DB00258	[Ca++].CC([O-])=O.CC([O-])=O	Calcium Acetate
DB00259	NC1=CC=C(C=C1)S(N)(=O)=O	Sulfanilamide
DB00260	N[C@@H]1CONC1=O	Cycloserine
DB00261	ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl	Anagrelide
DB00262	ClCCNC(=O)N(CCCl)N=O	Carmustine
DB00263	CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C	Sulfisoxazole
DB00264	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1	Metoprolol
DB00265	CCN(C(=O)C=CC)C1=CC=CC=C1C	Crotamiton
DB00266	OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2	Dicoumarol
DB00267	[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O	Cefmenoxime
DB00268	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1	Ropinirole
DB00270	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	Isradipine
DB00271	CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I	Diatrizoate
DB00272	NCCC1=CC=NN1	Betazole
DB00273	[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	Topiramate
DB00274	[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O	Cefmetazole
DB00275	CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O	Olmesartan
DB00276	COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1	Amsacrine
DB00277	CN1C2=C(NC=N2)C(=O)N(C)C1=O	Theophylline
DB00278	C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2	Argatroban
DB00279	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	Liothyronine
DB00280	CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C	Disopyramide
DB00281	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	Lidocaine
DB00282	NCCC(O)(P(O)(O)=O)P(O)(O)=O	Pamidronate
DB00283	CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	Clemastine
DB00284	C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O	Acarbose
DB00285	COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	Venlafaxine
DB00286	[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS([O-])(=O)=O)C=C3CC[C@@]21[H]	Conjugated Estrogens
DB00287	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F	Travoprost
DB00288	[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O	Amcinonide
DB00289	CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1	Atomoxetine
DB00290	C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C	Bleomycin
DB00291	OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	Chlorambucil
DB00292	CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1	Etomidate
DB00293	CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	Raltitrexed
DB00294	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	Etonogestrel
DB00295	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	Morphine
DB00296	CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	Ropivacaine
DB00297	CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C	Bupivacaine
DB00298	CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1	Dapiprazole
DB00299	NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2	Penciclovir
DB00300	C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O	Tenofovir
DB00301	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(F)C=CC=C1Cl)C(O)=O	Flucloxacillin
DB00302	NC[C@H]1CC[C@@H](CC1)C(O)=O	Tranexamic Acid
DB00303	[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O	Ertapenem
DB00304	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]	Desogestrel
DB00305	CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O	Mitomycin
DB00306	CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O	Talbutal
DB00307	CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C	Bexarotene
DB00308	CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	Ibutilide
DB00309	[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC	Vindesine
DB00310	NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12	Chlorthalidone
DB00312	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O	Pentobarbital
DB00313	CCCC(CCC)C(O)=O	Valproic Acid
