NAME	SMILES
Almitrine	C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1
Alpha-Linolenic Acid	CCC=CCC=CCC=CCCCCCCCC(=O)O
Alprazolam	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
Aluminium	[Al]
Aluminium monostearate	CCCCCCCCCCCCCCCCCC(=O)O[Al](O)O
Aluminum hydroxide	[OH-].[OH-].[OH-].[Al+3]
Alverine	CCN(CCCc1ccccc1)CCCc1ccccc1
Ambenonium	CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
Amcinonide	CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
Amfecloral	CC(Cc1ccccc1)N=CC(Cl)(Cl)Cl
Amikacin	NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O
Amiloride	NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
Aminophylline	Cn1c2nc[nH]c2c(=O)n(C)c1=O.Cn1c2nc[nH]c2c(=O)n(C)c1=O.NCCN
Amiodarone	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
Amitriptyline	CN(C)CCC=C1c2ccccc2CCc2ccccc21
Ammonia N-13	N
Ammonium lactate	[NH4+].CC(O)C(=O)[O-]
Amodiaquine	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc32)ccc1O
Amoxapine	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
Amphotericin B	CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O
Amsacrine	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc21
Anagrelide	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
Anidulafungin	CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1
Anisotropine Methylbromide	[Br-].CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C
Antrafenine	O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc21
Aprindine	CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1
Arbekacin	NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O
Arbutamine	Oc1ccc(CCCCNCC(O)c2ccc(O)c(O)c2)cc1
Argatroban	CC1CCN(C(=O)C(CCCN=C(N)N)NS(=O)(=O)c2cccc3c2NCC(C)C3)C(C(=O)O)C1
Aripiprazole	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
Arsthinol	CC(=O)Nc1cc([As]2SCC(CO)S2)ccc1O
Atazanavir	COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C
Atomoxetine	CNCCC(Oc1ccccc1C)c1ccccc1
Atorvastatin	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-]
Atovaquone	O=C1c2ccccc2C(=O)C(C2CCC(c3ccc(Cl)cc3)CC2)=C1O
Atracurium besylate	COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1
Avobenzone	COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1
Azathioprine	Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c21
Azelnidipine	CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1
Azilsartan medoxomil	CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
Azithromycin	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O
Azlocillin	CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O
Aztreonam	CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-]
Bacitracin	CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1
Balsalazide	O=C(O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1
Barnidipine	COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
Bazedoxifene	Cc1c2cc(O)ccc2n(Cc2ccc(OCCN3CCCCCC3)cc2)c1-c1ccc(O)cc1
Bedaquiline	COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc21
Bendamustine	Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
Benidipine	COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
Bentoquatam	O.O=[Al]O[Al]=O.O=[Si]=O
Benzathine benzylpenicillin	CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-].c1ccc(C[NH2+]CC[NH2+]Cc2ccccc2)cc1
Benzatropine	CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
Benzphetamine	CC(Cc1ccccc1)N(C)Cc1ccccc1
Benzthiazide	NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
Bepridil	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
Bexarotene	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
Bifonazole	c1cn(C(c2ccccc2)c2ccc(-c3ccccc3)cc2)cn1
Bisacodyl	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
Bisoxatin	O=C1Nc2ccccc2OC1(c1ccc(O)cc1)c1ccc(O)cc1
Bivalirudin	CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)O
Bleomycin	Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1
Boceprevir	CC(C)(C)NC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
Bopindolol	Cc1cc2c(cccc2OCC(CNC(C)(C)C)OC(=O)c2ccccc2)[nH]1
Bosentan	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
Bromhexine	CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1
Bromocriptine	CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c65)CC4N(C)C3)(C(C)C)C(=O)N12
Bromodiphenhydramine	CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1
Brompheniramine	CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
Brotizolam	Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
Bupivacaine	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
Bupranolol	Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1
Buprenorphine	COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5
Buspirone	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
Butenafine	CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc21
Butoconazole	Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
Cabazitaxel	COC1CC2OCC2(OC(C)=O)C2C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C(C(OC)C(=O)C12C)C3(C)C
Cabergoline	C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c43)CC21
Cabozantinib	COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
Calcidiol	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O
Calcipotriol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O
Calcitriol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
Calcium Acetate	[Ca+2].CC(=O)[O-].CC(=O)[O-]
Calcium carbimide	[Ca+2].[N-]=C=[N-]
Calcium carbonate	[Ca+2].O=C([O-])[O-]
Calcium Chloride	[Cl-].[Cl-].[Ca+2]
Calcium Gluceptate	[Ca+2].O=C([O-])C(O)C(O)C(O)C(O)C(O)CO.O=C([O-])C(O)C(O)C(O)C(O)C(O)CO
Candesartan	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
Candoxatril	COCCOCC(CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2
Cangrelor	CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)C(O)C1O
Cannabidiol	C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O
Capreomycin	CC1NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(=CNC(N)=O)NC(=O)C(CNC(=O)CC(N)CCCN)NC1=O.NCCCC(N)CC(=O)NCC1NC(=O)C(CO)NC(=O)C(N)CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(=CNC(N)=O)NC1=O
Capsaicin	COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O
Captodiame	CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1
Carbachol	[Cl-].C[N+](C)(C)CCOC(N)=O
Carbamazepine	NC(=O)N1c2ccccc2C=Cc2ccccc21
Carbetocin	CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)NC(=O)CCCSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
Carbidopa	CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O
Carboplatin	N.N.O=C1O[Pt]OC(=O)C12CCC2
Carboprost Tromethamine	CCCCCC(C)(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)[O-].[NH3+]C(CO)(CO)CO
Carfilzomib	CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1
Carprofen	CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
Carvedilol	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c21
Caspofungin	CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(C(O)CCN)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O
Cefalotin	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
Cefamandole	Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1
Cefazolin	Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1
Cefdinir	C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1
Cefditoren	CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1
Cefepime	CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1
Cefixime	C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1
Cefmenoxime	CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1
Cefmetazole	COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21
Cefonicid	O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12
Cefoperazone	CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O
Ceforanide	NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12
Cefotaxime	CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1
Cefotetan	COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21
Cefotiam	CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1
Cefoxitin	COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21
Cefpiramide	Cc1cc(O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)cn1
Cefpodoxime	COCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1
Ceftaroline fosamil	CCON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CSC12)c1nsc(NP(=O)(O)O)n1
Ceftazidime	CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O
Ceftibuten	Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1
Ceftizoxime	CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1
Ceftolozane	Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(=NOC(C)(C)C(=O)O)c3nsc(N)n3)C2SC1
Ceftriaxone	CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1
Cefuroxime	CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1
Celecoxib	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
Cephaloridine	O=C([O-])C1=C(C[n+]2ccccc2)CSC2C(N=C(O)Cc3cccs3)C(=O)N12
Ceritinib	Cc1cc(Nc2ncc(Cl)c(=Nc3ccccc3S(=O)(=O)C(C)C)[nH]2)c(OC(C)C)cc1C1CCNCC1
Ceruletide	CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C(NC(=O)C(Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C1CCC(=O)N1)C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O
Cetrimonium	CCCCCCCCCCCCCCCC[N+](C)(C)C
Cetrorelix	CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C)C(N)=O
Chlorhexidine	N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
Chloropyramine	CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
Chlorothiazide	NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
Chlorpromazine	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
Chlorprothixene	CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21
Chlortetracycline	CN(C)C1C(O)=C(C(=N)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
Cholecalciferol	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
Cholic Acid	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
Choline C 11	[Cl-].C[N+](C)(C)CCO
Chromic chloride	[Cl-].[Cl-].[Cl-].[Cr+3]
Ciclesonide	CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C
Cilnidipine	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
Cilostazol	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
Cinacalcet	CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc21
Cinalukast	CCC(CC)(CC(=O)Nc1cccc(C=Cc2nc(C3CCC3)cs2)c1)C(=O)O
Cinnarizine	C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
Cisapride	COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
Cisatracurium besylate	COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1
Citalopram	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Clarithromycin	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O
Clemastine	CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
Clevidipine	CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
Clobazam	CN1c2ccc(Cl)cc2N(c2ccccc2)C(=O)CC1=O
Clocapramine	N=C(O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1
Clofazimine	CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
Clofedanol	CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
Clomifene	CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
Clomipramine	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
Clomocycline	CN(C)C1C(O)=C(C(=O)NCO)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
Cloperastine	Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1
Clopidogrel	COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1
Clotiazepam	CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
Clotrimazole	Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
Cloxazolam	O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1
Clozapine	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
Cobicistat	CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1
Cobimetinib	O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)(C2CCCCN2)C1
Colestipol	NCCNCCNCCNCCN.ClCC1CO1
Colfosceril palmitate	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC
Colistimethate	CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC(C(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(=O)(=O)[O-])NC1=O)C(C)O
Colistin	CCC(C)CCCC(O)=NC(CCN)C(O)=NC(C(O)=NC(CCN)C(O)=NC1CCN=C(O)C(C(C)O)N=C(O)C(CCN)N=C(O)C(CCN)N=C(O)C(CC(C)C)N=C(O)C(CC(C)C)N=C(O)C(CCN)N=C1O)C(C)O
Conivaptan	Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
Conjugated Estrogens	[Na+].CC12CCC3c4ccc(OS(=O)(=O)[O-])cc4CCC3C1CCC2=O
Copper	[Cu+2]
Corticorelin ovine triflutate	CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(N)=O)NC(=O)C(CO)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(CCSC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(N)CO)C(C)CC)C(C)O)C(C)C)C(C)O)C(=O)NC(C)C(N)=O
Crizotinib	CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
Cyamemazine	CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21
